,County,State,Population
838,Floyd,Iowa,15642
839,Franklin,Iowa,10070
840,Fremont,Iowa,6960
841,Greene,Iowa,8888
842,Grundy,Iowa,12232
843,Guthrie,Iowa,10689
844,Hamilton,Iowa,14773
845,Hancock,Iowa,10630
846,Hardin County,Iowa,16846
847,Harrison,Iowa,14049
848,Henry,Iowa,19954
849,Ward,Iowa,9158
850,Humboldt,Iowa,9558
851,Ida County,Iowa,6860
852,Iowa County,Iowa,16184
853,Jack,Iowa,19439
854,Jasper,Iowa,37185
855,Jefferson,Iowa,18295
856,Johnson,Iowa,151140
857,Jones,Iowa,20681
858,Keokuk,Iowa,10246
859,Kossuth,Iowa,14813
860,Lee,Iowa,33657
861,Linn,Iowa,226706
862,Louisa,Iowa,11035
863,Lucas,Iowa,8600
864,Lyon,Iowa,11755
865,Madison County,Iowa,16338
866,Mahaska,Iowa,22095
867,Marion,Iowa,33253
868,Hall,Iowa,39369
869,Mills County,Iowa,15109
870,Mitchell,Iowa,10586
871,Monona,Iowa,8615
872,Monroe,Iowa,7707
873,Montgomery,Iowa,9917
874,Muscatine,Iowa,42664
875,O'Brien,Iowa,13753
876,Osceola,Iowa,5958
877,Page,Iowa,15107
878,Palo Alto,Iowa,8886
879,Plymouth,Iowa,25177
880,Pocahontas,Iowa,6619
881,Polk,Iowa,490161
882,Pottawattamie,Iowa,93206
883,Poweshiek,Iowa,18504
884,Ringgold County,Iowa,4894
885,Sac County,Iowa,9721
886,Scott,Iowa,172943
887,Shelby,Iowa,11454
888,Sioux,Iowa,34855
889,Story,Iowa,97117
890,Tama,Iowa,16854
891,Taylor,Iowa,6121
892,Union County,Iowa,12241
893,Van Buren,Iowa,7044
894,Wapello,Iowa,34969
895,Warren,Iowa,51466
896,Washington County,Iowa,21965
897,Wayne,Iowa,6441
898,Webster,Iowa,35904
899,Winnebago,Iowa,10354
900,Winn,Iowa,19991
901,Woodbury,Iowa,103107
902,Worth,Iowa,7381
903,Wright,Iowa,12562
904,Kansas,Kansas,2913314
905,Allen,Kansas,12369
906,Anderson,Kansas,7858
907,Atchison,Kansas,16073
908,Barber,Kansas,4427
909,Barton,Kansas,25779
910,Bourbon,Kansas,14534
911,Brown,Kansas,9564
912,Butler,Kansas,66911
913,Chase,Kansas,2648
914,Chautauqua,Kansas,3250
915,Cherokee,Kansas,19939
916,Cheyenne,Kansas,2657
917,Clark County,Kansas,1994
918,Clay County,Kansas,8002
919,Cloud,Kansas,8786
920,Coffey,Kansas,8179
921,Comanche,Kansas,1700
922,Cowley,Kansas,34908
923,Crawford,Kansas,38818
924,Decatur,Kansas,2827
925,Dickinson,Kansas,18466
926,Doniphan,Kansas,7600
927,Douglas,Kansas,122259
928,Edwards,Kansas,2798
929,Elk County,Kansas,2530
930,Ellis,Kansas,28553
931,Ellsworth,Kansas,6102
932,Finney,Kansas,36467
933,Ford County,Kansas,33619
934,Franklin,Kansas,25544
935,Geary,Kansas,31670
936,Gove,Kansas,2636
937,Graham,Kansas,2482
938,Grant County,Kansas,7150
939,Ray,Kansas,5988
940,Greeley,Kansas,1232
941,Greenwood,Kansas,5982
942,Hamilton,Kansas,2539
943,Harper,Kansas,5436
944,Harvey,Kansas,34429
945,Haskell,Kansas,3968
946,Gem,Kansas,1794
947,Jack,Kansas,13171
948,Jefferson,Kansas,19043
949,Jewell,Kansas,2879
950,Johnson,Kansas,602401
951,Kearny,Kansas,3838
952,Kingman County,Kansas,7152
953,Kiowa,Kansas,2475
954,Labette,Kansas,19618
955,Lane,Kansas,1535
956,Leavenworth,Kansas,81758
957,Lincoln County,Kansas,2962
958,Linn,Kansas,9703
959,Logan,Kansas,2794
960,Lyon,Kansas,33195
961,McPherson,Kansas,28542
962,Marion,Kansas,11884
963,Hall,Kansas,9707
964,Meade,Kansas,4033
965,Miami,Kansas,34237
966,Mitchell,Kansas,5979
967,Montgomery,Kansas,31829
968,Morris County,Kansas,5620
969,Morton County,Kansas,2587
970,Nemaha,Kansas,10231
971,Neosho,Kansas,16007
972,Ness County,Kansas,2750
973,Norton,Kansas,5361
974,Osage,Kansas,15949
975,Osborne,Kansas,3421
976,Ottawa,Kansas,5704
977,Pawnee,Kansas,6414
978,Phillips,Kansas,5234
979,Pottawatomie,Kansas,24383
980,Pratt,Kansas,9164
981,Rawlins County,Kansas,2530
982,Reno,Kansas,61998
983,Republic,Kansas,4636
984,Rice,Kansas,9537
985,Riley,Kansas,74232
986,Rooks County,Kansas,4920
987,Rush,Kansas,3036
988,Russell,Kansas,6856
989,Saline,Kansas,54224
990,Scott,Kansas,4823
991,Sedgwick,Kansas,516042
992,Seward,Kansas,21428
993,Shawnee,Kansas,176875
994,Sheridan,Kansas,2521
995,Sherman,Kansas,5917
996,Smith,Kansas,3583
997,Stafford,Kansas,4156
998,Stanton,Kansas,2006
999,Stevens,Kansas,5485
1000,Sumner,Kansas,22836
1001,Thomas,Kansas,7777
1002,Trego County,Kansas,2803
1003,Wabaunsee,Kansas,6931
1004,Wallace County,Kansas,1518
1005,Washington County,Kansas,5406
1006,Wichita,Kansas,2119
1007,Wilson,Kansas,8525
1008,Woodson,Kansas,3138
1009,Wyandot,Kansas,165429
1010,Kentucky,Kentucky,4467673
1011,Adair,Kentucky,19202
1012,Allen,Kentucky,21315
1013,Anderson,Kentucky,22747
1014,Ballard,Kentucky,7888
1015,Barren,Kentucky,44249
1016,Bath,Kentucky,12500
1017,Bell County,Kentucky,26032
1018,Boone,Kentucky,133581
1019,Bourbon,Kentucky,19788
1020,Boyd,Kentucky,46718
1021,Boyle,Kentucky,30060
1022,Bracken,Kentucky,8303
1023,Breathitt,Kentucky,12630
1024,Breckinridge,Kentucky,20477
1025,Bullitt,Kentucky,81676
1026,Butler,Kentucky,12879
1027,Caldwell,Kentucky,12747
1028,Calloway,Kentucky,39001
1029,Campbell,Kentucky,93584
1030,Carlisle,Kentucky,4760
1031,Carroll County,Kentucky,10631
1032,Carter County,Kentucky,26797
1033,Casey,Kentucky,16159
1034,Christian,Kentucky,70461
1035,Clark County,Kentucky,36263
1036,Clay County,Kentucky,19901
1037,Clinton,Kentucky,10218
1038,Crittenden,Kentucky,8806
1039,Cumberland,Kentucky,6614
1040,Daviess County,Kentucky,101511
1041,Edmonson,Kentucky,12150
1042,Elliott County,Kentucky,7517
1043,Estill County,Kentucky,14106
1044,Fayette,Kentucky,323152
1045,Fleming,Kentucky,14581
1046,Floyd,Kentucky,35589
1047,Franklin,Kentucky,50991
1048,Fulton,Kentucky,5969
1049,Gallatin,Kentucky,8869
1050,Garrard,Kentucky,17666
1051,Grant County,Kentucky,25069
1052,Graves,Kentucky,37266
1053,Grayson,Kentucky,26427
1054,Green County,Kentucky,10941
1055,Greenup,Kentucky,35098
1056,Hancock,Kentucky,8722
1057,Hardin County,Kentucky,110958
1058,Harlan,Kentucky,26010
1059,Harrison,Kentucky,18886
1060,Hart County,Kentucky,19035
1061,Henderson,Kentucky,45210
1062,Henry,Kentucky,16126
1063,Hickman,Kentucky,4380
1064,Hopkins,Kentucky,44686
1065,Jack,Kentucky,13329
1066,Jefferson,Kentucky,766757
1067,Jessamine,Kentucky,54115
1068,Johnson,Kentucky,22188
1069,Kenton,Kentucky,166998
1070,Knott,Kentucky,14806
1071,Knox,Kentucky,31145
1072,Larue,Kentucky,14398
1073,Laurel,Kentucky,60813
1074,Lawrence,Kentucky,15317
1075,Lee,Kentucky,7403
1076,Leslie,Kentucky,9877
1077,Letcher,Kentucky,21553
1078,Lewis County,Kentucky,13275
1079,Lincoln County,Kentucky,24549
1080,Livingston County,Kentucky,9194
1081,Logan,Kentucky,27102
1082,Lyon,Kentucky,8210
1083,McCracken,Kentucky,65418
1084,McCreary,Kentucky,17231
1085,McLean,Kentucky,9207
1086,Madison County,Kentucky,92987
1087,Magoffin,Kentucky,12161
1088,Marion,Kentucky,19273
1089,Hall,Kentucky,31100
1090,Martin County,Kentucky,11195
1091,Mason,Kentucky,17070
1092,Meade,Kentucky,28572
1093,Menifee,Kentucky,6489
1094,Mercer,Kentucky,21933
1095,Metcalfe,Kentucky,10071
1096,Monroe,Kentucky,10650
1097,Montgomery,Kentucky,28157
1098,Morgan,Kentucky,13309
1099,Muhlenberg,Kentucky,30622
1100,Nelson,Kentucky,46233
1101,Nicholas,Kentucky,7269
1102,Ohio County,Kentucky,23994
1103,Oldham,Kentucky,66799
1104,Owen,Kentucky,10901
1105,Owsley,Kentucky,4415
1106,Pendleton,Kentucky,14590
1107,Perry,Kentucky,25758
1108,Pike,Kentucky,57876
1109,Powell,Kentucky,12359
1110,Pulaski,Kentucky,64979
1111,Roberts,Kentucky,2108
1112,Rockcastle,Kentucky,16695
1113,Rowan,Kentucky,24460
1114,Russell,Kentucky,17923
1115,Scott,Kentucky,57004
1116,Shelby,Kentucky,49024
1117,Simpson,Kentucky,18572
1118,Spencer,Kentucky,19351
1119,Taylor,Kentucky,25769
1120,Todd County,Kentucky,12294
1121,Trigg,Kentucky,14651
1122,Trimble,Kentucky,8471
1123,Union County,Kentucky,14381
1124,Warren,Kentucky,132896
1125,Washington County,Kentucky,12095
1126,Wayne,Kentucky,20333
1127,Webster,Kentucky,12942
1128,Whitley,Kentucky,36264
1129,Wolfe County,Kentucky,7157
1130,Woodford,Kentucky,26734
1131,Louisiana,Louisiana,4648794
1132,Acadia,Louisiana,62045
1133,Allen Parish,Louisiana,25627
1134,Ascension,Louisiana,126604
1135,Assumption,Louisiana,21891
1136,Avoyelles,Louisiana,40144
1137,Beauregard,Louisiana,37497
1138,Bienville,Louisiana,13241
1139,Bossier,Louisiana,127039
1140,Caddo Parish,Louisiana,240204
1141,Calcasieu,Louisiana,203436
1142,Caldwell Parish,Louisiana,9918
1143,Cameron,Louisiana,6973
1144,Catahoula,Louisiana,9494
1145,Claiborne,Louisiana,15670
1146,Concordia,Louisiana,19259
1147,De Soto,Louisiana,27463
1148,East Baton Rouge,Louisiana,440059
1149,East Carroll,Louisiana,6861
1150,East Feliciana,Louisiana,19135
1151,Evangeline,Louisiana,33395
1152,Franklin Parish,Louisiana,20015
1153,Grant,Louisiana,22389
1154,Iberia,Louisiana,69830
1155,Iberville,Louisiana,32511
1156,Jackson Parish,Louisiana,15744
1157,Jefferson Parish,Louisiana,432493
1158,Jefferson Davis,Louisiana,31368
1159,Lafayette,Louisiana,244390
1160,Lafourche,Louisiana,97614
1161,LaSalle,Louisiana,14892
1162,Lincoln,Louisiana,46742
1163,Livingston,Louisiana,140789
1164,Madison,Louisiana,10951
1165,Morehouse,Louisiana,24874
1166,Natchitoches,Louisiana,38158
1167,Orleans Parish,Louisiana,390144
1168,Ouachita Parish,Louisiana,153279
1169,Plaquemines,Louisiana,23197
1170,Pointe Coupee,Louisiana,21730
1171,Rapides,Louisiana,129648
1172,Red River Parish,Louisiana,8442
1173,Richland,Louisiana,20122
1174,Sabine Parish,Louisiana,23884
1175,St. Bernard,Louisiana,47244
1176,St. Charles,Louisiana,53100
1177,St. Helena,Louisiana,10132
1178,St. James,Louisiana,21096
1179,St. John the Baptist,Louisiana,42837
1180,St. Landry,Louisiana,82124
1181,St. Martin,Louisiana,53431
1182,St. Mary Parish,Louisiana,49348
1183,St. Tammany,Louisiana,260419
1184,Tangipahoa,Louisiana,134758
1185,Tensas,Louisiana,4334
1186,Terrebonne,Louisiana,110461
1187,Union,Louisiana,22108
1188,Vermilion Parish,Louisiana,59511
1189,Vernon,Louisiana,47429
1190,Washington Parish,Louisiana,46194
1191,Webster Parish,Louisiana,38340
1192,West Baton Rouge,Louisiana,26465
1193,West Carroll,Louisiana,10830
1194,West Feliciana,Louisiana,15568
1195,Winn Parish,Louisiana,13904
1196,Maine,Maine,1344212
1197,Androscoggin,Maine,108277
1198,Aroostook,Maine,67055
1199,Cumberland,Maine,295003
1200,Franklin,Maine,30199
1201,Hancock,Maine,54987
1202,Kennebec,Maine,122302
1203,Knox,Maine,39772
1204,Lincoln County,Maine,34634
1205,Oxford,Maine,57975
1206,Penobscot,Maine,152148
1207,Piscataquis,Maine,16785
1208,Sagadahoc,Maine,35856
1209,Somerset,Maine,50484
1210,Waldo,Maine,39715
1211,Washington County,Maine,31379
1212,York County,Maine,207641
1213,Maryland,Maryland,6045680
1214,Allegany,Maryland,70416
1215,Anne Arundel,Maryland,579234
1216,Baltimore,Maryland,827370
1217,Calvert,Maryland,92525
1218,Caroline,Maryland,33406
1219,Carroll County,Maryland,168447
1220,Cecil,Maryland,102855
1221,Charles County,Maryland,163257
1222,Dorchester,Maryland,31929
1223,Frederick,Maryland,259547
1224,Garrett,Maryland,29014
1225,Harford,Maryland,255441
1226,Ward,Maryland,325690
1227,Kent County,Maryland,19422
1228,Montgomery,Maryland,1050688
1229,Prince George's,Maryland,909327
1230,Queen Anne's,Maryland,50381
1231,St. Mary,Maryland,113510
1232,Somerset,Maryland,25616
1233,Talbot,Maryland,37181
1234,Washington County,Maryland,151049
1235,Wicomico,Maryland,103609
1236,Worcester,Maryland,52276
1237,Baltimore city,Maryland,593490
1238,Massachusetts,Massachusetts,6892503
1239,Barnstable,Massachusetts,212990
1240,Berkshire,Massachusetts,124944
1241,Bristol,Massachusetts,565217
1242,Dukes,Massachusetts,17332
1243,Essex,Massachusetts,789034
1244,Franklin,Massachusetts,70180
1245,Hampden,Massachusetts,466372
1246,Hampshire County,Massachusetts,160830
1247,Middlesex,Massachusetts,1611699
1248,Nantucket,Massachusetts,11399
1249,Norfolk,Massachusetts,706775
1250,Plymouth,Massachusetts,521202
1251,Suffolk,Massachusetts,803907
1252,Worcester,Massachusetts,830622
1253,Michigan,Michigan,9986857
1254,Alcona,Michigan,10405
1255,Alger County,Michigan,9108
1256,Allegan,Michigan,118081
1257,Alpena,Michigan,28405
1258,Antrim,Michigan,23324
1259,Arenac,Michigan,14883
1260,Baraga,Michigan,8209
1261,Barry,Michigan,61550
1262,Bay County,Michigan,103126
1263,Benzie,Michigan,17766
1264,Berrien,Michigan,153401
1265,Branch,Michigan,43517
1266,Calhoun,Michigan,134159
1267,Cass,Michigan,51787
1268,Charlevoix,Michigan,26143
1269,Cheboygan,Michigan,25276
1270,Chippewa,Michigan,37349
1271,Clare,Michigan,30950
1272,Clinton,Michigan,79595
1273,Crawford,Michigan,14029
1274,Delta,Michigan,35784
1275,Dickinson,Michigan,25239
1276,Eaton,Michigan,110268
1277,Emmet,Michigan,33415
1278,Genesee,Michigan,405813
1279,Gladwin,Michigan,25449
1280,Gogebic,Michigan,13975
1281,Grand Traverse,Michigan,93088
1282,Gratiot,Michigan,40711
1283,Hillsdale,Michigan,45605
1284,Houghton,Michigan,35684
1285,Huron,Michigan,30981
1286,Ingham County,Michigan,292406
1287,Ionia,Michigan,64697
1288,Iosco,Michigan,25127
1289,Iron,Michigan,11066
1290,Isabella,Michigan,69872
1291,Jack,Michigan,158510
1292,Kalamazoo,Michigan,265066
1293,Kalkaska,Michigan,18038
1294,Kent County,Michigan,656955
1295,Keweenaw County,Michigan,2116
1296,Lake County,Michigan,11853
1297,Lapeer,Michigan,87607
1298,Leelanau,Michigan,21761
1299,Lenawee,Michigan,98451
1300,Livingston County,Michigan,191995
1301,Luce,Michigan,6229
1302,Mackinac,Michigan,10799
1303,Macomb,Michigan,873972
1304,Manistee,Michigan,24558
1305,Marquette,Michigan,66699
1306,Mason,Michigan,29144
1307,Mecosta,Michigan,43453
1308,Menominee,Michigan,22780
1309,Midland,Michigan,83156
1310,Missaukee,Michigan,15118
1311,Monroe,Michigan,150500
1312,Montcalm,Michigan,63888
1313,Montmorency,Michigan,9328
1314,Muskegon,Michigan,173566
1315,Newaygo,Michigan,48980
1316,Oakland,Michigan,1257584
1317,Oceana,Michigan,26467
1318,Ogemaw,Michigan,20997
1319,Ontonagon County,Michigan,5720
1320,Osceola,Michigan,23460
1321,Oscoda,Michigan,8241
1322,Otsego,Michigan,24668
1323,Ottawa,Michigan,291830
1324,Presque Isle,Michigan,12592
1325,Roscommon,Michigan,24019
1326,Saginaw,Michigan,190539
1327,St. Clair,Michigan,159128
1328,St. Joseph,Michigan,60964
1329,Sanilac,Michigan,41170
1330,Schoolcraft,Michigan,8094
1331,Shiawassee,Michigan,68122
1332,Tuscola,Michigan,52245
1333,Van Buren,Michigan,75677
1334,Washtenaw,Michigan,367601
1335,Wayne,Michigan,1749343
1336,Wexford,Michigan,33631
1337,Minnesota,Minnesota,5639632
1338,Aitkin,Minnesota,15886
1339,Anoka,Minnesota,356921
1340,Becker,Minnesota,34423
1341,Beltrami,Minnesota,47188
1342,Benton,Minnesota,40889
1343,Big Stone,Minnesota,4991
1344,Blue Earth,Minnesota,67653
1345,Brown,Minnesota,25008
1346,Carlton,Minnesota,35871
1347,Carver,Minnesota,105089
1348,Cass,Minnesota,29779
1349,Chippewa,Minnesota,11800
1350,Chisago,Minnesota,56579
1351,Clay County,Minnesota,64222
1352,Clearwater,Minnesota,8818
1353,Cook County,Minnesota,5463
1354,Cottonwood,Minnesota,11196
1355,Crow Wing,Minnesota,65055
1356,Dakota,Minnesota,429021
1357,Dodge,Minnesota,20934
1358,Douglas,Minnesota,38141
1359,Faribault,Minnesota,13653
1360,Fillmore,Minnesota,21067
1361,Freeborn,Minnesota,30281
1362,Goodhue,Minnesota,46340
1363,Grant County,Minnesota,5972
1364,Hennepin,Minnesota,1265843
1365,Houston,Minnesota,18600
1366,Hubbard County,Minnesota,21491
1367,Isanti,Minnesota,40596
1368,Itasca,Minnesota,45130
1369,Jack,Minnesota,9846
1370,Kanabec,Minnesota,16337
1371,Kandiyohi,Minnesota,43199
1372,Kittson,Minnesota,4298
1373,Koochiching,Minnesota,12229
1374,Lac qui Parle,Minnesota,6623
1375,Lake County,Minnesota,10641
1376,Woods,Minnesota,3740
1377,Le Sueur,Minnesota,28887
1378,Lincoln County,Minnesota,5639
1379,Lyon,Minnesota,25474
1380,McLeod,Minnesota,35893
1381,Mahnomen,Minnesota,5527
1382,Hall,Minnesota,9336
1383,Martin County,Minnesota,19683
1384,Meeker,Minnesota,23222
1385,Mille Lacs,Minnesota,26277
1386,Morris,Minnesota,33386
1387,Mower,Minnesota,40062
1388,Murray,Minnesota,8194
1389,Nicollet,Minnesota,34274
1390,Nobles,Minnesota,21629
1391,Norman,Minnesota,6375
1392,Olmsted,Minnesota,158293
1393,Otter Tail,Minnesota,58746
1394,Pennington,Minnesota,14119
1395,Pine County,Minnesota,29579
1396,Pipestone,Minnesota,9126
1397,Polk,Minnesota,31364
1398,Pope,Minnesota,11249
1399,Ramsey,Minnesota,550321
1400,Red Lake,Minnesota,4055
1401,Redwood,Minnesota,15170
1402,Renville,Minnesota,14548
1403,Rice,Minnesota,66972
1404,Rock County,Minnesota,9315
1405,Roseau,Minnesota,15165
1406,St. Louis,Minnesota,199070
1407,Scott,Minnesota,149013
1408,Sherburne,Minnesota,97238
1409,Sibley,Minnesota,14865
1410,Stearns,Minnesota,161075
1411,Steele,Minnesota,36649
1412,Stevens,Minnesota,9805
1413,Swift,Minnesota,9266
1414,Todd County,Minnesota,24664
1415,Traverse,Minnesota,3259
1416,Wabasha,Minnesota,21627
1417,Wadena,Minnesota,13682
1418,Waseca,Minnesota,18612
1419,Washington County,Minnesota,262440
1420,Watonwan,Minnesota,10897
1421,Wilkin,Minnesota,6207
1422,Winona,Minnesota,50484
1423,Wright,Minnesota,138377
1424,Yell,Minnesota,9709
1425,Mississippi,Mississippi,2976149
1426,Adams,Mississippi,30693
1427,Alcorn,Mississippi,36953
1428,Amite,Mississippi,12297
1429,Attala,Mississippi,18174
1430,Benton,Mississippi,8259
1431,Bolivar,Mississippi,30628
1432,Calhoun,Mississippi,14361
1433,Carroll County,Mississippi,9947
1434,Chickasaw,Mississippi,17103
1435,Choctaw,Mississippi,8210
1436,Claiborne County,Mississippi,8988
1437,Clarke,Mississippi,15541
1438,Clay County,Mississippi,19316
1439,Coahoma,Mississippi,22124
1440,Copiah,Mississippi,28065
1441,Covington,Mississippi,18636
1442,DeSoto,Mississippi,184945
1443,Forrest,Mississippi,74897
1444,Franklin,Mississippi,7713
1445,George County,Mississippi,24500
1446,Greene,Mississippi,13586
1447,Grenada,Mississippi,20758
1448,Hancock,Mississippi,47632
1449,Harrison,Mississippi,208080
1450,Hinds,Mississippi,231840
1451,Holmes,Mississippi,17010
1452,Humphreys,Mississippi,8064
1453,Issaquena County,Mississippi,1327
1454,Itawamba,Mississippi,23390
1455,Jack,Mississippi,143617
1456,Jasper,Mississippi,16383
1457,Jefferson,Mississippi,6990
1458,Jefferson Davis County,Mississippi,11128
1459,Jones,Mississippi,68098
1460,Kemper,Mississippi,9742
1461,Lafayette County,Mississippi,54019
1462,Lamar,Mississippi,63343
1463,Lauderdale,Mississippi,74125
1464,Lawrence,Mississippi,12586
1465,Leake,Mississippi,22786
1466,Lee,Mississippi,85436
1467,Leflore,Mississippi,28183
1468,Lincoln County,Mississippi,34153
1469,Lowndes,Mississippi,58595
1470,Madison County,Mississippi,106272
1471,Marion,Mississippi,24573
1472,Hall,Mississippi,35294
1473,Monroe,Mississippi,35252
1474,Montgomery,Mississippi,9775
1475,Neshoba,Mississippi,29118
1476,Newton,Mississippi,21018
1477,Noxubee,Mississippi,10417
1478,Oktibbeha,Mississippi,49587
1479,Panola,Mississippi,34192
1480,Pearl River,Mississippi,55535
1481,Perry,Mississippi,11973
1482,Pike,Mississippi,39288
1483,Pontotoc,Mississippi,32174
1484,Prentiss,Mississippi,25126
1485,Quitman,Mississippi,6792
1486,Rankin,Mississippi,155271
1487,Scott,Mississippi,28124
1488,Sharkey,Mississippi,4321
1489,Simpson,Mississippi,26658
1490,Smith,Mississippi,15916
1491,Stone County,Mississippi,18336
1492,Sunflower,Mississippi,25110
1493,Tallahatchie,Mississippi,13809
1494,Tate,Mississippi,28321
1495,Tippah,Mississippi,22015
1496,Tishomingo,Mississippi,19383
1497,Tunica,Mississippi,9632
1498,Union County,Mississippi,28815
1499,Walthall,Mississippi,14286
1500,Warren,Mississippi,45381
1501,Washington County,Mississippi,43909
1502,Wayne,Mississippi,20183
1503,Webster,Mississippi,9689
1504,Wilkinson,Mississippi,8630
1505,Winston,Mississippi,17955
1506,Yalobusha,Mississippi,12108
1507,Yazoo,Mississippi,29690
1508,Missouri,Missouri,6137428
1509,Adair,Missouri,25343
1510,Andrew County,Missouri,17712
1511,Atchison,Missouri,5143
1512,Audrain,Missouri,25388
1513,Barry,Missouri,35789
1514,Barton,Missouri,11754
1515,Bates,Missouri,16172
1516,Benton,Missouri,19443
1517,Bollinger,Missouri,12133
1518,Boone,Missouri,180463
1519,Buchanan,Missouri,87364
1520,Butler,Missouri,42478
1521,Caldwell,Missouri,9020
1522,Callaway,Missouri,44743
1523,Camden,Missouri,46305
1524,Cape Girardeau,Missouri,78871
1525,Carroll County,Missouri,8679
1526,Carter County,Missouri,5982
1527,Cass,Missouri,105780
1528,Cedar,Missouri,14349
1529,Chariton,Missouri,7426
1530,Christian,Missouri,88595
1531,Clark County,Missouri,6797
1532,Clay County,Missouri,249948
1533,Clinton,Missouri,20387
1534,Cole County,Missouri,76745
1535,Cooper,Missouri,17709
1536,Crawford,Missouri,23920
1537,Dade,Missouri,7561
1538,Dallas,Missouri,16878
1539,Daviess County,Missouri,8278
1540,DeKalb,Missouri,12547
1541,Dent,Missouri,15573
1542,Douglas,Missouri,13185
1543,Dunklin,Missouri,29131
1544,Franklin,Missouri,103967
1545,Gasconade,Missouri,14706
1546,Gentry,Missouri,6571
1547,Greene,Missouri,293086
1548,Grundy,Missouri,9850
1549,Harrison,Missouri,8352
1550,Henry,Missouri,21824
1551,Hickory County,Missouri,9544
1552,Holt,Missouri,4403
1553,Ward,Missouri,10001
1554,Howell,Missouri,40117
1555,Iron,Missouri,10125
1556,Jack,Missouri,703011
1557,Jasper,Missouri,121328
1558,Jefferson,Missouri,225081
1559,Johnson,Missouri,54062
1560,Knox,Missouri,3959
1561,Laclede,Missouri,35723
1562,Lafayette County,Missouri,32708
1563,Lawrence,Missouri,38355
1564,Lewis County,Missouri,9776
1565,Lincoln County,Missouri,59013
1566,Linn,Missouri,11920
1567,Livingston County,Missouri,15227
1568,McDonald,Missouri,22837
1569,Macon,Missouri,15117
1570,Madison County,Missouri,12088
1571,Maries,Missouri,8697
1572,Marion,Missouri,28530
1573,Mercer,Missouri,3617
1574,Miller,Missouri,25619
1575,Mississippi County,Missouri,13180
1576,Moniteau,Missouri,16132
1577,Monroe,Missouri,8644
1578,Montgomery,Missouri,11551
1579,Morgan,Missouri,20627
1580,New Madrid,Missouri,17076
1581,Newton,Missouri,58236
1582,Nodaway,Missouri,22092
1583,Oregon County,Missouri,10529
1584,Osage,Missouri,13615
1585,Ozark County,Missouri,9174
1586,Pemiscot,Missouri,15805
1587,Perry,Missouri,19136
1588,Pettis,Missouri,42339
1589,Phelps,Missouri,44573
1590,Pike,Missouri,18302
1591,Platte,Missouri,104418
1592,Polk,Missouri,32149
1593,Pulaski,Missouri,52607
1594,Putnam,Missouri,4696
1595,Ralls,Missouri,10309
1596,Randolph,Missouri,24748
1597,Ray County,Missouri,23018
1598,Reynolds,Missouri,6270
1599,Ripley,Missouri,13288
1600,St. Charles County,Missouri,402022
1601,St. Clair,Missouri,9397
1602,Ste. Genevieve,Missouri,17894
1603,St. Francois,Missouri,67215
1604,St. Louis,Missouri,994205
1605,Saline,Missouri,22761
1606,Schuyler,Missouri,4660
1607,Scotland,Missouri,4902
1608,Scott,Missouri,38280
1609,Shannon County,Missouri,8166
1610,Shelby,Missouri,5930
1611,Todd,Missouri,29025
1612,Stone County,Missouri,31952
1613,Sullivan,Missouri,6089
1614,Taney,Missouri,55928
1615,Texas County,Missouri,25398
1616,Vernon County,Missouri,20563
1617,Warren,Missouri,35649
1618,Washington County,Missouri,24730
1619,Wayne,Missouri,12873
1620,Webster,Missouri,39592
1621,Worth,Missouri,2013
1622,Wright,Missouri,18289
1623,St. Louis city,Missouri,300576
1624,Montana,Montana,1068778
1625,Beaverhead,Montana,9453
1626,Big Horn,Montana,13319
1627,Blaine,Montana,6681
1628,Broadwater,Montana,6237
1629,Carbon,Montana,10725
1630,Carter County,Montana,1252
1631,Cascade,Montana,81366
1632,Chouteau County,Montana,5635
1633,Custer,Montana,11402
1634,Daniels County,Montana,1690
1635,Dawson,Montana,8613
1636,Deer Lodge,Montana,9140
1637,Fallon County,Montana,2846
1638,Fergus County,Montana,11050
1639,Flathead,Montana,103806
1640,Gallatin,Montana,114434
