,County,State,Population
1641,Garfield,Montana,1258
1642,Glacier,Montana,13753
1643,Golden Valley,Montana,821
1644,Granite County,Montana,3379
1645,Hill County,Montana,16484
1646,Jefferson,Montana,12221
1647,Judith Basin County,Montana,2007
1648,Lake County,Montana,30458
1649,Lewis,Montana,69432
1650,Liberty,Montana,2337
1651,Lincoln County,Montana,19980
1652,McCone County,Montana,1664
1653,Madison County,Montana,8600
1654,Meagher,Montana,1862
1655,Mineral,Montana,4397
1656,Missoula,Montana,119600
1657,Musselshell,Montana,4633
1658,Park,Montana,16606
1659,Petroleum County,Montana,487
1660,Phillips,Montana,3954
1661,Pondera,Montana,5911
1662,Powder River County,Montana,1682
1663,Powell,Montana,6890
1664,Prairie,Montana,1077
1665,Ravalli,Montana,43806
1666,Richland County,Montana,10803
1667,Roosevelt,Montana,11004
1668,Rosebud County,Montana,8937
1669,Sanders County,Montana,12113
1670,Sheridan,Montana,3309
1671,Silver Bow,Montana,34915
1672,Stillwater,Montana,9642
1673,Sweet Grass County,Montana,3737
1674,Teton,Montana,6147
1675,Toole,Montana,4736
1676,Treasure County,Montana,696
1677,Valley,Montana,7396
1678,Wheatland,Montana,2126
1679,Wibaux County,Montana,969
1680,Yellowstone,Montana,161300
1681,Nebraska,Nebraska,1934408
1682,Adams,Nebraska,31363
1683,Antelope,Nebraska,6298
1684,Arthur County,Nebraska,463
1685,Banner County,Nebraska,745
1686,Blaine,Nebraska,465
1687,Boone,Nebraska,5192
1688,Butte,Nebraska,10783
1689,Boyd,Nebraska,1919
1690,Brown,Nebraska,2955
1691,Buffalo,Nebraska,49659
1692,Burt,Nebraska,6459
1693,Butler,Nebraska,8016
1694,Cass,Nebraska,26248
1695,Cedar,Nebraska,8402
1696,Chase,Nebraska,3924
1697,Cherry,Nebraska,5689
1698,Cheyenne,Nebraska,8910
1699,Clay County,Nebraska,6203
1700,Colfax,Nebraska,10709
1701,Cuming,Nebraska,8846
1702,Custer,Nebraska,10777
1703,Dakota,Nebraska,20026
1704,Dawes,Nebraska,8589
1705,Dawson,Nebraska,23595
1706,Deuel,Nebraska,1794
1707,Dixon,Nebraska,5636
1708,Dodge,Nebraska,36565
1709,Douglas,Nebraska,571327
1710,Dundy County,Nebraska,1693
1711,Fillmore,Nebraska,5462
1712,Franklin,Nebraska,2979
1713,Frontier,Nebraska,2627
1714,Furnas,Nebraska,4676
1715,Gage,Nebraska,21513
1716,Garden County,Nebraska,1837
1717,Garfield,Nebraska,1969
1718,Gosper,Nebraska,1990
1719,Grant County,Nebraska,623
1720,Greeley,Nebraska,2356
1721,Hall County,Nebraska,61353
1722,Hamilton,Nebraska,9324
1723,Harlan,Nebraska,3380
1724,Hayes County,Nebraska,922
1725,Hitchcock,Nebraska,2762
1726,Holt,Nebraska,10067
1727,Hooker County,Nebraska,682
1728,Ward,Nebraska,6445
1729,Jefferson,Nebraska,7046
1730,Johnson,Nebraska,5071
1731,Kearney,Nebraska,6495
1732,Keith,Nebraska,8034
1733,Keya Paha County,Nebraska,806
1734,Kimball,Nebraska,3632
1735,Knox,Nebraska,8332
1736,Lancaster,Nebraska,319090
1737,Lincoln County,Nebraska,34914
1738,Logan,Nebraska,748
1739,Loup County,Nebraska,664
1740,McPherson,Nebraska,494
1741,Madison County,Nebraska,35099
1742,Merrick,Nebraska,7755
1743,Morrill,Nebraska,4642
1744,Nance,Nebraska,3519
1745,Nemaha,Nebraska,6972
1746,Nuckolls,Nebraska,4148
1747,Otoe,Nebraska,16012
1748,Pawnee,Nebraska,2613
1749,Perkins County,Nebraska,2891
1750,Phelps,Nebraska,9034
1751,Pierce,Nebraska,7148
1752,Platte,Nebraska,33470
1753,Polk,Nebraska,5213
1754,Will,Nebraska,10724
1755,Richardson,Nebraska,7865
1756,Rock County,Nebraska,1357
1757,Saline,Nebraska,14224
1758,Sarpy,Nebraska,187196
1759,Saunders,Nebraska,21578
1760,Scotts Bluff,Nebraska,35618
1761,Seward,Nebraska,17284
1762,Sheridan,Nebraska,5246
1763,Sherman,Nebraska,3001
1764,Sioux,Nebraska,1166
1765,Stanton,Nebraska,5920
1766,Thayer County,Nebraska,5003
1767,Thomas,Nebraska,722
1768,Thurston,Nebraska,7224
1769,Valley,Nebraska,4158
1770,Washington County,Nebraska,20729
1771,Wayne,Nebraska,9385
1772,Webster,Nebraska,3487
1773,Wheeler,Nebraska,783
1774,York County,Nebraska,13679
1775,Nevada,Nevada,3080156
1776,Churchill,Nevada,24909
1777,Clark County,Nevada,2266715
1778,Douglas,Nevada,48905
1779,Elko,Nevada,52778
1780,Esmeralda County,Nevada,873
1781,Eureka County,Nevada,2029
1782,Humboldt,Nevada,16831
1783,Lander,Nevada,5532
1784,Lincoln County,Nevada,5183
1785,Lyon,Nevada,57510
1786,Mineral,Nevada,4505
1787,Nye,Nevada,46523
1788,Pershing County,Nevada,6725
1789,Storey County,Nevada,4123
1790,Washoe,Nevada,471519
1791,Pine,Nevada,9580
1792,Carson City,Nevada,55916
1793,New Hampshire,New Hampshire,1359711
1794,Belknap,New Hampshire,61303
1795,Carroll County,New Hampshire,48910
1796,Cheshire,New Hampshire,76085
1797,Coos County,New Hampshire,31563
1798,Grafton,New Hampshire,89886
1799,Hillsborough,New Hampshire,417025
1800,Merrimack,New Hampshire,151391
1801,Rockingham,New Hampshire,309769
1802,Strafford,New Hampshire,130633
1803,Sullivan,New Hampshire,43146
1804,New Jersey,New Jersey,8882190
1805,Atlantic,New Jersey,263670
1806,Bergen,New Jersey,932202
1807,Burlington,New Jersey,445349
1808,Camden,New Jersey,506471
1809,Cape May,New Jersey,92039
1810,Cumberland,New Jersey,149527
1811,Essex,New Jersey,798975
1812,Gloucester,New Jersey,291636
1813,Hudson,New Jersey,672391
1814,Hunterdon,New Jersey,124371
1815,Mercer,New Jersey,367430
1816,Middlesex,New Jersey,825062
1817,Monmouth,New Jersey,618795
1818,Morris County,New Jersey,491845
1819,Ocean,New Jersey,607186
1820,Passaic,New Jersey,501826
1821,Salem,New Jersey,62385
1822,Somerset,New Jersey,328934
1823,Sussex,New Jersey,140488
1824,Union County,New Jersey,556341
1825,Warren,New Jersey,105267
1826,New Mexico,New Mexico,2096829
1827,Bernalillo,New Mexico,679121
1828,Catron,New Mexico,3527
1829,Chaves,New Mexico,64615
1830,Cibola,New Mexico,26675
1831,Colfax,New Mexico,11941
1832,Curry County,New Mexico,48954
1833,Baca,New Mexico,1748
1834,Doa Ana,New Mexico,218195
1835,Eddy,New Mexico,58460
1836,Grant County,New Mexico,26998
1837,Guadalupe,New Mexico,4300
1838,Hardin,New Mexico,625
1839,Hidalgo,New Mexico,4198
1840,Lea County,New Mexico,71070
1841,Lincoln County,New Mexico,19572
1842,Los Alamos,New Mexico,19369
1843,Luna,New Mexico,23709
1844,McKinley,New Mexico,71367
1845,Mora County,New Mexico,4521
1846,Otero,New Mexico,67490
1847,Quay,New Mexico,8253
1848,Rio Arriba,New Mexico,38921
1849,Roosevelt,New Mexico,18500
1850,Sandoval,New Mexico,146748
1851,San Juan,New Mexico,123958
1852,San Miguel,New Mexico,27277
1853,Santa Fe,New Mexico,150358
1854,Sierra,New Mexico,10791
1855,Socorro,New Mexico,16637
1856,Taos,New Mexico,32723
1857,Torrance,New Mexico,15461
1858,Union County,New Mexico,4059
1859,Valencia,New Mexico,76688
1860,New York,New York,19453561
1861,Albany,New York,305506
1862,Allegany,New York,46091
1863,Bronx County,New York,1418207
1864,Broome,New York,190488
1865,Cattaraugus,New York,76117
1866,Cayuga,New York,76576
1867,Chautauqua,New York,126903
1868,Chemung,New York,83456
1869,Chenango,New York,47207
1870,Clinton,New York,80485
1871,Columbia,New York,59461
1872,Cortland,New York,47581
1873,Delaware County,New York,44135
1874,Dutchess,New York,294218
1875,Erie,New York,918702
1876,Essex,New York,36885
1877,Franklin,New York,50022
1878,Fulton,New York,53383
1879,Genesee,New York,57280
1880,Greene,New York,47188
1881,Hamilton,New York,4416
1882,Herkimer,New York,61319
1883,Jefferson,New York,109834
1884,Kings,New York,2559903
1885,Lewis County,New York,26296
1886,Livingston County,New York,62914
1887,Madison County,New York,70941
1888,Monroe,New York,741770
1889,Montgomery,New York,49221
1890,Nassau,New York,1356924
1891,New York County,New York,1628706
1892,Niagara,New York,209281
1893,Oneida,New York,228671
1894,Onondaga,New York,460528
1895,Ontario,New York,109777
1896,Orange County,New York,384940
1897,Orleans,New York,40352
1898,Oswego,New York,117124
1899,Otsego,New York,59493
1900,Putnam,New York,98320
1901,Queens County,New York,2253858
1902,Rensselaer,New York,158714
1903,Richmond,New York,476143
1904,Rockland,New York,325789
1905,St. Lawrence,New York,107740
1906,Saratoga,New York,229863
1907,Schenectady,New York,155299
1908,Schoharie,New York,30999
1909,Schuyler,New York,17807
1910,Seneca,New York,34016
1911,Steuben,New York,95379
1912,Suffolk,New York,1476601
1913,Sullivan,New York,75432
1914,Tioga,New York,48203
1915,Tompkins,New York,102180
1916,Ulster,New York,177573
1917,Warren,New York,63944
1918,Washington County,New York,61204
1919,Wayne,New York,89918
1920,Westchester,New York,967506
1921,Wyoming County,New York,39859
1922,Yates,New York,24913
1923,North Carolina,North Carolina,10488084
1924,Alamance,North Carolina,169509
1925,Alexander,North Carolina,37497
1926,Alleghany,North Carolina,11137
1927,Anson County,North Carolina,24446
1928,Ashe,North Carolina,27203
1929,Avery County,North Carolina,17557
1930,Beaufort,North Carolina,46994
1931,Bertie,North Carolina,18947
1932,Bladen,North Carolina,32722
1933,Brunswick,North Carolina,142820
1934,Buncombe,North Carolina,261191
1935,Burke,North Carolina,90485
1936,Cabarrus,North Carolina,216453
1937,Caldwell,North Carolina,82178
1938,Camden,North Carolina,10867
1939,Carteret,North Carolina,69473
1940,Caswell,North Carolina,22604
1941,Catawba,North Carolina,159551
1942,Chatham,North Carolina,74470
1943,Cherokee,North Carolina,28612
1944,Chowan,North Carolina,13943
1945,Clay County,North Carolina,11231
1946,Cleveland,North Carolina,97947
1947,Columbus,North Carolina,55508
1948,Craven,North Carolina,102139
1949,Cumberland,North Carolina,335509
1950,Currituck,North Carolina,27763
1951,Dare,North Carolina,37009
1952,Davidson,North Carolina,167609
1953,Davie County,North Carolina,42846
1954,Duplin,North Carolina,58741
1955,Durham,North Carolina,321488
1956,Edgecombe,North Carolina,51472
1957,Forsyth,North Carolina,382295
1958,Franklin,North Carolina,69685
1959,Gaston,North Carolina,224529
1960,Gates,North Carolina,11562
1961,Graham,North Carolina,8441
1962,Granville,North Carolina,60443
1963,Greene,North Carolina,21069
1964,Guilford,North Carolina,537174
1965,Halifax,North Carolina,50010
1966,Harnett,North Carolina,135976
1967,Haywood,North Carolina,62317
1968,Henderson,North Carolina,117417
1969,Hertford,North Carolina,23677
1970,Hoke,North Carolina,55234
1971,Hyde,North Carolina,4937
1972,Iredell,North Carolina,181806
1973,Jack,North Carolina,43938
1974,Johnston,North Carolina,209339
1975,Jones,North Carolina,9419
1976,Lee,North Carolina,61779
1977,Lenoir,North Carolina,55949
1978,Lincoln County,North Carolina,86111
1979,McDowell,North Carolina,45756
1980,Macon,North Carolina,35858
1981,Madison County,North Carolina,21755
1982,Martin County,North Carolina,22440
1983,Mecklenburg,North Carolina,1110356
1984,Mitchell,North Carolina,14964
1985,Montgomery,North Carolina,27173
1986,Moore,North Carolina,100880
1987,Nash,North Carolina,94298
1988,Hanover,North Carolina,234473
1989,Northampton,North Carolina,19483
1990,Onslow,North Carolina,197938
1991,Orange County,North Carolina,148476
1992,Pamlico,North Carolina,12726
1993,Pasquotank,North Carolina,39824
1994,Pender,North Carolina,63060
1995,Perquimans,North Carolina,13463
1996,Person,North Carolina,39490
1997,Pitt,North Carolina,180742
1998,Polk,North Carolina,20724
1999,Randolph,North Carolina,143667
2000,Richmond,North Carolina,44829
2001,Robeson,North Carolina,130625
2002,Rockingham,North Carolina,91010
2003,Rowan,North Carolina,142088
2004,Rutherford,North Carolina,67029
2005,Sampson,North Carolina,63531
2006,Scotland,North Carolina,34823
2007,Stanly,North Carolina,62806
2008,Stokes,North Carolina,45591
2009,Surry,North Carolina,71783
2010,Swain,North Carolina,14271
2011,Transylvania,North Carolina,34385
2012,Tyrrell,North Carolina,4016
2013,Union County,North Carolina,239859
2014,Vance,North Carolina,44535
2015,Wake,North Carolina,1111761
2016,Warren,North Carolina,19731
2017,Washington County,North Carolina,11580
2018,Watauga,North Carolina,56177
2019,Wayne,North Carolina,123131
2020,Wilkes,North Carolina,68412
2021,Wilson,North Carolina,81801
2022,Yadkin,North Carolina,37667
2023,Yancey,North Carolina,18069
2024,North Dakota,North Dakota,762062
2025,Adams,North Dakota,2216
2026,Barnes,North Dakota,10415
2027,Benson,North Dakota,6832
2028,Billings County,North Dakota,928
2029,Bottineau County,North Dakota,6282
2030,Bowman,North Dakota,3024
2031,Burke,North Dakota,2115
2032,Burleigh,North Dakota,95626
2033,Cass,North Dakota,181923
2034,Cavalier County,North Dakota,3762
2035,Dickey County,North Dakota,4872
2036,Divide,North Dakota,2264
2037,Dunn,North Dakota,4424
2038,Eddy,North Dakota,2287
2039,Emmons,North Dakota,3241
2040,Foster,North Dakota,3210
2041,Golden Valley,North Dakota,1761
2042,Grand Forks,North Dakota,69451
2043,Grant County,North Dakota,2274
2044,Griggs County,North Dakota,2231
2045,Hettinger County,North Dakota,2499
2046,Kidder County,North Dakota,2480
2047,LaMoure County,North Dakota,4046
2048,Logan,North Dakota,1850
2049,McHenry,North Dakota,5745
2050,McIntosh,North Dakota,2497
2051,McKenzie,North Dakota,15024
2052,McLean,North Dakota,9450
2053,Mercer,North Dakota,8187
2054,Morton County,North Dakota,31364
2055,Mountrail,North Dakota,10545
2056,Nelson,North Dakota,2879
2057,Oliver,North Dakota,1959
2058,Pembina,North Dakota,6801
2059,Pierce,North Dakota,3975
2060,Ramsey,North Dakota,11519
2061,Ransom,North Dakota,5218
2062,Renville,North Dakota,2327
2063,Richland County,North Dakota,16177
2064,Rolette,North Dakota,14176
2065,Sargent,North Dakota,3898
2066,Sheridan,North Dakota,1315
2067,Sioux,North Dakota,4230
2068,Slope,North Dakota,750
2069,Stark County,North Dakota,31489
2070,Steele,North Dakota,1890
2071,Stutsman,North Dakota,20704
2072,Towner County,North Dakota,2189
2073,Traill,North Dakota,8036
2074,Walsh,North Dakota,10641
2075,Ward County,North Dakota,67641
2076,Wells,North Dakota,3834
2077,Williams,North Dakota,37589
2078,Ohio,Ohio,11689100
2079,Adams,Ohio,27698
2080,Allen,Ohio,102351
2081,Ashland,Ohio,53484
2082,Ashtabula,Ohio,97241
2083,Athens,Ohio,65327
2084,Auglaize,Ohio,45656
2085,Belmont,Ohio,67006
2086,Brown,Ohio,43432
2087,Butler,Ohio,383134
2088,Carroll County,Ohio,26914
2089,Champaign,Ohio,38885
2090,Clark County,Ohio,134083
2091,Clermont,Ohio,206428
2092,Clinton,Ohio,41968
2093,Columbiana,Ohio,101883
2094,Coshocton,Ohio,36600
2095,Crawford,Ohio,41494
2096,Cuyahoga,Ohio,1235072
2097,Darke,Ohio,51113
2098,Defiance,Ohio,38087
2099,Delaware County,Ohio,209177
2100,Erie,Ohio,74266
2101,Fairfield,Ohio,157574
2102,Fayette,Ohio,28525
2103,Franklin,Ohio,1316756
2104,Fulton,Ohio,42126
2105,Gallia,Ohio,29898
2106,Geauga,Ohio,93649
2107,Greene,Ohio,168937
2108,Guernsey,Ohio,38875
2109,Hamilton,Ohio,817473
2110,Hancock,Ohio,75783
2111,Hardin County,Ohio,31365
2112,Harrison,Ohio,15040
2113,Henry,Ohio,27006
2114,Highland,Ohio,43161
2115,Hocking,Ohio,28264
2116,Holmes,Ohio,43960
2117,Huron,Ohio,58266
2118,Jack,Ohio,32413
2119,Jefferson,Ohio,65325
2120,Knox,Ohio,62322
2121,Lake County,Ohio,230149
2122,Lawrence,Ohio,59463
2123,King,Ohio,176862
2124,Logan,Ohio,45672
2125,Lorain,Ohio,309833
2126,Lucas,Ohio,428348
2127,Madison County,Ohio,44731
2128,Mahoning,Ohio,228683
2129,Marion,Ohio,65093
2130,Medina,Ohio,179746
2131,Meigs,Ohio,22907
2132,Mercer,Ohio,41172
2133,Miami,Ohio,106987
2134,Monroe,Ohio,13654
2135,Montgomery,Ohio,531687
2136,Morgan,Ohio,14508
2137,Morrow,Ohio,35328
2138,Muskingum,Ohio,86215
2139,Noble County,Ohio,14424
2140,Ottawa,Ohio,40525
2141,Paulding,Ohio,18672
2142,Perry,Ohio,36134
2143,Pickaway,Ohio,58457
2144,Pike,Ohio,27772
2145,Portage,Ohio,162466
2146,Preble,Ohio,40882
2147,Putnam,Ohio,33861
2148,Richland County,Ohio,121154
2149,Ross,Ohio,76666
2150,Sandusky,Ohio,58518
2151,Scioto,Ohio,75314
2152,Seneca,Ohio,55178
2153,Shelby,Ohio,48590
2154,Stark County,Ohio,370606
2155,Summit,Ohio,541013
2156,Trumbull,Ohio,197974
2157,Tuscarawas,Ohio,91987
2158,Union County,Ohio,58988
2159,Van Wert,Ohio,28275
2160,Vinton,Ohio,13085
2161,Warren,Ohio,234602
2162,Washington County,Ohio,59911
2163,Wayne,Ohio,115710
2164,Williams,Ohio,36692
2165,Wood County,Ohio,130817
2166,Wyandot County,Ohio,21772
2167,Oklahoma,Oklahoma,3956971
2168,Adair,Oklahoma,22194
2169,Alfalfa,Oklahoma,5702
2170,Atoka,Oklahoma,13758
2171,Beaver,Oklahoma,5311
2172,Beckham,Oklahoma,21859
2173,Blaine,Oklahoma,9429
2174,Bryan,Oklahoma,47995
2175,Caddo,Oklahoma,28762
2176,Canadian,Oklahoma,148306
2177,Carter County,Oklahoma,48111
2178,Cherokee,Oklahoma,48657
2179,Choctaw,Oklahoma,14672
2180,Cimarron,Oklahoma,2137
2181,Cleveland,Oklahoma,284014
2182,Coal County,Oklahoma,5495
2183,Comanche,Oklahoma,120749
2184,Cotton County,Oklahoma,5666
2185,Craig County,Oklahoma,14142
2186,Creek County,Oklahoma,71522
2187,Custer,Oklahoma,29003
2188,Delaware County,Oklahoma,43009
2189,Dewey,Oklahoma,4891
2190,Ellis,Oklahoma,3859
2191,Garfield,Oklahoma,61056
2192,Garvin,Oklahoma,27711
2193,Grady,Oklahoma,55834
2194,Grant County,Oklahoma,4333
2195,Greer,Oklahoma,5712
2196,Harmon County,Oklahoma,2653
2197,Harper,Oklahoma,3688
2198,Haskell,Oklahoma,12627
2199,Hughes,Oklahoma,13279
2200,Jack,Oklahoma,24530
2201,Jefferson,Oklahoma,6002
2202,Johnston,Oklahoma,11085
2203,Kay,Oklahoma,43538
2204,Kingfisher,Oklahoma,15765
2205,Kiowa,Oklahoma,8708
2206,Latimer,Oklahoma,10073
2207,Le Flore,Oklahoma,49853
2208,Lincoln County,Oklahoma,34877
2209,Logan,Oklahoma,48011
2210,Love,Oklahoma,10253
2211,McClain,Oklahoma,40474
2212,McCurtain,Oklahoma,32832
2213,McIntosh,Oklahoma,19596
2214,Major,Oklahoma,7629
2215,Hall,Oklahoma,16931
2216,Mayes,Oklahoma,41100
2217,Murray,Oklahoma,14073
2218,Muskogee,Oklahoma,67997
2219,Noble County,Oklahoma,11131
2220,Nowata,Oklahoma,10076
2221,Okfuskee,Oklahoma,11993
2222,Oklahoma County,Oklahoma,797434
2223,Okmulgee,Oklahoma,38465
2224,Osage,Oklahoma,46963
2225,Ottawa,Oklahoma,31127
2226,Pawnee,Oklahoma,16376
2227,Payne,Oklahoma,81784
2228,Pittsburg,Oklahoma,43654
2229,Pontotoc,Oklahoma,38284
2230,Pottawatomie,Oklahoma,72592
2231,Pushmataha,Oklahoma,11096
2232,Mills,Oklahoma,3583
2233,Rogers,Oklahoma,92459
2234,Seminole,Oklahoma,24258
2235,Sequoyah,Oklahoma,41569
2236,Stephens,Oklahoma,43143
2237,Texas County,Oklahoma,19983
2238,Tillman,Oklahoma,7250
2239,Tulsa,Oklahoma,651552
2240,Wagoner,Oklahoma,81289
2241,Washington County,Oklahoma,51527
2242,Washita,Oklahoma,10916
2243,Woods County,Oklahoma,8793
2244,Woodward,Oklahoma,20211
2245,Oregon,Oregon,4217737
2246,Baker,Oregon,16124
2247,Benton,Oregon,93053
2248,Clackamas,Oregon,418187
2249,Clatsop,Oregon,40224
2250,Columbia,Oregon,52354
2251,Coos County,Oregon,64487
2252,Crook,Oregon,24404
2253,Curry County,Oregon,22925
2254,Deschutes,Oregon,197692
2255,Douglas,Oregon,110980
2256,Gilliam County,Oregon,1912
2257,Grant County,Oregon,7199
2258,Harney,Oregon,7393
2259,Hood River,Oregon,23382
2260,Jack,Oregon,220944
2261,Jefferson,Oregon,24658
2262,Josephine,Oregon,87487
2263,Klamath,Oregon,68238
2264,Lake County,Oregon,7869
2265,Lane,Oregon,382067
2266,Lincoln County,Oregon,49962
2267,Linn,Oregon,129749
2268,Malheur,Oregon,30571
2269,Marion,Oregon,347818
2270,Morrow,Oregon,11603
2271,Multnomah,Oregon,812855
2272,Polk,Oregon,86085
2273,Sherman,Oregon,1780
2274,Tillamook,Oregon,27036
2275,Umatilla,Oregon,77950
2276,Union County,Oregon,26835
2277,Wallowa,Oregon,7208
2278,Wasco,Oregon,26682
2279,Washington County,Oregon,601592
2280,Wheeler,Oregon,1332
2281,Yamhill,Oregon,107100
2282,Pennsylvania,Pennsylvania,12801989
2283,Adams,Pennsylvania,103009
2284,Allegheny,Pennsylvania,1216045
2285,Armstrong,Pennsylvania,64735
2286,Beaver,Pennsylvania,163929
2287,Bedford,Pennsylvania,47888
2288,Berks,Pennsylvania,421164
2289,Blair,Pennsylvania,121829
2290,Bradford,Pennsylvania,60323
2291,Bucks,Pennsylvania,628270
2292,Butler,Pennsylvania,187853
2293,Cambria,Pennsylvania,130192
2294,Cameron County,Pennsylvania,4447
2295,Carbon,Pennsylvania,64182
2296,Centre,Pennsylvania,162385
2297,Chester County,Pennsylvania,524989
2298,Clarion,Pennsylvania,38438
2299,Lea,Pennsylvania,79255
2300,Clinton,Pennsylvania,38632
2301,Columbia,Pennsylvania,64964
2302,Crawford,Pennsylvania,84629
2303,Cumberland,Pennsylvania,253370
2304,Dauphin,Pennsylvania,278299
2305,Delaware County,Pennsylvania,566747
2306,Elk County,Pennsylvania,29910
2307,Erie,Pennsylvania,269728
2308,Fayette,Pennsylvania,129274
2309,Forest,Pennsylvania,7247
2310,Franklin,Pennsylvania,155027
2311,Fulton,Pennsylvania,14530
2312,Greene,Pennsylvania,36233
2313,Hunt,Pennsylvania,45144
2314,Indiana County,Pennsylvania,84073
2315,Jefferson,Pennsylvania,43425
2316,Juniata,Pennsylvania,24763
2317,Lackawanna,Pennsylvania,209674
2318,Lancaster,Pennsylvania,545724
2319,Lawrence,Pennsylvania,85512
2320,Lebanon,Pennsylvania,141793
2321,Lehigh,Pennsylvania,369318
2322,Luzerne,Pennsylvania,317417
2323,Lycoming,Pennsylvania,113299
2324,McKean,Pennsylvania,40625
2325,Mercer,Pennsylvania,109424
2326,Mifflin,Pennsylvania,46138
2327,Monroe,Pennsylvania,170271
2328,Montgomery,Pennsylvania,830915
2329,Montour,Pennsylvania,18230
2330,Northampton,Pennsylvania,305285
2331,Northumberland,Pennsylvania,90843
2332,Perry,Pennsylvania,46272
2333,Philadelphia,Pennsylvania,1584064
2334,Pike,Pennsylvania,55809
2335,Potter,Pennsylvania,16526
2336,Schuylkill,Pennsylvania,141359
2337,Snyder,Pennsylvania,40372
2338,Somerset,Pennsylvania,73447
2339,Sullivan,Pennsylvania,6066
2340,Susquehanna,Pennsylvania,40328
2341,Tioga,Pennsylvania,40591
2342,Union County,Pennsylvania,44923
2343,Venango,Pennsylvania,50668
2344,Warren,Pennsylvania,39191
2345,Washington County,Pennsylvania,206865
2346,Wayne,Pennsylvania,51361
2347,Westmoreland,Pennsylvania,348899
2348,Wyoming County,Pennsylvania,26794
2349,York County,Pennsylvania,449058
2350,Rhode Island,Rhode Island,1059361
2351,Bristol,Rhode Island,48479
2352,Kent County,Rhode Island,164292
2353,Newport,Rhode Island,82082
2354,Providence,Rhode Island,638931
2355,Washington County,Rhode Island,125577
2356,South Carolina,South Carolina,5148714
2357,Abbeville,South Carolina,24527
2358,Aiken,South Carolina,170872
2359,Allendale,South Carolina,8688
2360,Anderson,South Carolina,202558
2361,Bamberg,South Carolina,14066
2362,Barnwell,South Carolina,20866
2363,Beaufort,South Carolina,192122
2364,Berkeley,South Carolina,227907
2365,Calhoun,South Carolina,14553
2366,Charleston,South Carolina,411406
2367,Cherokee,South Carolina,57300
2368,Chester County,South Carolina,32244
2369,Chesterfield,South Carolina,45650
2370,Clarendon,South Carolina,33745
2371,Colleton,South Carolina,37677
2372,Darlington,South Carolina,66618
2373,Dillon,South Carolina,30479
2374,Dorchester,South Carolina,162809
2375,Edgefield,South Carolina,27260
2376,Fairfield,South Carolina,22347
2377,Florence,South Carolina,138293
2378,Georgetown,South Carolina,62680
2379,Greenville,South Carolina,523542
2380,Greenwood,South Carolina,70811
2381,Hampton County,South Carolina,19222
2382,Horry,South Carolina,354081
2383,Jasper,South Carolina,30073
2384,Kershaw,South Carolina,66551
2385,Lancaster,South Carolina,98012
2386,Laurens,South Carolina,67493
2387,Lee,South Carolina,16828
2388,Lexington,South Carolina,298750
2389,McCormick,South Carolina,9463
2390,Marion,South Carolina,30657
2391,Marlboro,South Carolina,26118
2392,Newberry,South Carolina,38440
2393,Oconee,South Carolina,79546
2394,Orangeburg,South Carolina,86175
2395,Pickens,South Carolina,126884
2396,Richland County,South Carolina,415759
2397,Saluda,South Carolina,20473
2398,Spartanburg,South Carolina,319785
